size	16
T	4
J	1
H	0
step-init_step	E	m
5020	-0.320312	0.0078125
5030	-0.320312	0.015625
5040	-0.304688	0
5050	-0.289062	0
5060	-0.289062	0.015625
5070	-0.28125	0
5080	-0.304688	-0.0078125
5090	-0.304688	-0.0234375
5100	-0.320312	-0.0078125
5110	-0.289062	0
5120	-0.296875	0.0234375
5130	-0.28125	0.015625
5140	-0.296875	0.03125
5150	-0.289062	0.0078125
5160	-0.28125	0
5170	-0.28125	0.0390625
5180	-0.273438	0.0390625
5190	-0.265625	0.0546875
5200	-0.257812	0.03125
5210	-0.25	0.0078125
5220	-0.234375	0.015625
5230	-0.226562	0.0078125
5240	-0.210938	0.015625
5250	-0.234375	0.0234375
5260	-0.242188	0.0390625
5270	-0.265625	0.046875
5280	-0.304688	0.0390625
5290	-0.289062	0.03125
5300	-0.304688	0.015625
5310	-0.304688	0
5320	-0.335938	-0.0078125
5330	-0.289062	0
5340	-0.296875	0.0234375
5350	-0.304688	0.0546875
5360	-0.296875	0.0703125
5370	-0.265625	0.0859375
5380	-0.265625	0.0546875
5390	-0.265625	0.03125
5400	-0.265625	0.046875
5410	-0.273438	0.015625
5420	-0.296875	0.015625
5430	-0.273438	0.0390625
5440	-0.273438	0.0546875
5450	-0.289062	0.0390625
5460	-0.257812	0.0234375
5470	-0.273438	0.0234375
5480	-0.257812	0.0546875
5490	-0.265625	0.0390625
5500	-0.257812	0.046875
5510	-0.25	0.0625
5520	-0.257812	0.03125
5530	-0.242188	0.046875
5540	-0.242188	0.0390625
5550	-0.273438	0.0625
5560	-0.257812	0.0859375
5570	-0.273438	0.0703125
5580	-0.242188	0.0859375
5590	-0.234375	0.0703125
5600	-0.242188	0.078125
5610	-0.242188	0.0625
5620	-0.234375	0.0703125
5630	-0.25	0.0625
5640	-0.265625	0.046875
5650	-0.28125	0.0625
5660	-0.257812	0.0546875
5670	-0.265625	0.0703125
5680	-0.265625	0.0546875
5690	-0.28125	0.0703125
5700	-0.28125	0.101562
5710	-0.265625	0.09375
5720	-0.257812	0.109375
5730	-0.28125	0.132812
5740	-0.289062	0.140625
5750	-0.265625	0.15625
5760	-0.265625	0.15625
5770	-0.28125	0.125
5780	-0.289062	0.140625
5790	-0.289062	0.132812
5800	-0.296875	0.164062
5810	-0.289062	0.171875
5820	-0.3125	0.171875
5830	-0.28125	0.15625
5840	-0.289062	0.109375
5850	-0.296875	0.117188
5860	-0.265625	0.0859375
5870	-0.242188	0.0546875
5880	-0.257812	0.0234375
5890	-0.25	0.0390625
5900	-0.242188	0.0234375
5910	-0.21875	0.0078125
5920	-0.21875	-0.0234375
5930	-0.242188	0
5940	-0.242188	0.03125
5950	-0.242188	0.0390625
5960	-0.25	0.0390625
5970	-0.273438	0.0703125
5980	-0.273438	0.09375
5990	-0.304688	0.09375
6000	-0.289062	0.078125
6010	-0.320312	0.0625
6020	-0.328125	0.101562
6030	-0.335938	0.117188
6040	-0.320312	0.117188
6050	-0.3125	0.132812
6060	-0.304688	0.125
6070	-0.265625	0.15625
6080	-0.273438	0.109375
6090	-0.289062	0.0859375
6100	-0.28125	0.0859375
6110	-0.265625	0.0859375
6120	-0.273438	0.078125
6130	-0.273438	0.0859375
6140	-0.28125	0.101562
6150	-0.289062	0.101562
6160	-0.273438	0.09375
6170	-0.242188	0.101562
6180	-0.28125	0.132812
6190	-0.265625	0.101562
6200	-0.289062	0.09375
6210	-0.296875	0.101562
6220	-0.28125	0.0859375
6230	-0.289062	0.101562
6240	-0.28125	0.125
6250	-0.273438	0.125
6260	-0.296875	0.132812
6270	-0.289062	0.125
6280	-0.273438	0.140625
6290	-0.257812	0.125
6300	-0.257812	0.117188
6310	-0.25	0.15625
6320	-0.226562	0.171875
6330	-0.203125	0.15625
6340	-0.234375	0.15625
6350	-0.234375	0.132812
6360	-0.25	0.148438
6370	-0.234375	0.171875
6380	-0.242188	0.164062
6390	-0.25	0.140625
6400	-0.234375	0.117188
6410	-0.234375	0.101562
6420	-0.210938	0.0859375
6430	-0.210938	0.101562
6440	-0.226562	0.0859375
6450	-0.234375	0.0625
6460	-0.25	0.0859375
6470	-0.242188	0.0703125
6480	-0.242188	0.09375
6490	-0.226562	0.101562
6500	-0.226562	0.09375
6510	-0.242188	0.101562
6520	-0.25	0.117188
6530	-0.210938	0.132812
6540	-0.226562	0.125
6550	-0.234375	0.132812
6560	-0.226562	0.132812
6570	-0.25	0.15625
6580	-0.242188	0.171875
6590	-0.226562	0.171875
6600	-0.226562	0.164062
6610	-0.234375	0.140625
6620	-0.265625	0.125
6630	-0.265625	0.09375
6640	-0.242188	0.078125
6650	-0.273438	0.0703125
6660	-0.265625	0.0625
6670	-0.28125	0.09375
6680	-0.265625	0.101562
6690	-0.265625	0.117188
6700	-0.28125	0.148438
6710	-0.296875	0.171875
6720	-0.304688	0.171875
6730	-0.273438	0.15625
6740	-0.273438	0.179688
6750	-0.289062	0.1875
6760	-0.265625	0.226562
6770	-0.289062	0.195312
6780	-0.304688	0.21875
6790	-0.328125	0.226562
6800	-0.335938	0.257812
6810	-0.351562	0.28125
6820	-0.335938	0.289062
6830	-0.328125	0.273438
6840	-0.335938	0.304688
6850	-0.335938	0.296875
6860	-0.328125	0.304688
6870	-0.328125	0.3125
6880	-0.335938	0.289062
6890	-0.304688	0.273438
6900	-0.3125	0.273438
6910	-0.328125	0.289062
6920	-0.351562	0.289062
6930	-0.34375	0.289062
6940	-0.328125	0.265625
6950	-0.351562	0.265625
6960	-0.367188	0.289062
6970	-0.375	0.320312
6980	-0.398438	0.304688
6990	-0.382812	0.328125
7000	-0.367188	0.320312
7010	-0.34375	0.304688
7020	-0.34375	0.304688
7030	-0.367188	0.304688
7040	-0.351562	0.296875
