size	128
T	5
J	1
H	0
step-init_step	E	m
48600	-4318	0.277954
48700	-4314	0.274414
48800	-4336	0.273682
48900	-4348	0.274048
49000	-4356	0.274048
49100	-4362	0.272583
49200	-4342	0.270386
49300	-4352	0.269775
49400	-4376	0.269775
49500	-4354	0.268799
49600	-4340	0.269165
49700	-4344	0.267578
49800	-4302	0.26416
49900	-4292	0.264526
50000	-4304	0.264038
50100	-4300	0.262939
50200	-4282	0.262207
50300	-4280	0.261108
50400	-4284	0.26123
50500	-4308	0.26123
50600	-4304	0.261597
50700	-4288	0.261353
50800	-4276	0.264282
50900	-4254	0.26416
51000	-4286	0.264404
51100	-4276	0.263794
51200	-4260	0.262573
51300	-4246	0.261475
51400	-4250	0.259521
51500	-4246	0.258911
51600	-4246	0.258789
51700	-4232	0.256592
51800	-4214	0.256104
51900	-4218	0.254272
52000	-4222	0.253418
52100	-4196	0.251587
52200	-4190	0.250366
52300	-4184	0.249023
52400	-4204	0.248657
52500	-4182	0.248291
52600	-4192	0.247681
52700	-4172	0.246704
52800	-4144	0.244873
52900	-4154	0.244019
53000	-4162	0.245972
53100	-4172	0.246094
53200	-4174	0.245972
53300	-4184	0.245728
53400	-4206	0.244873
53500	-4194	0.245605
53600	-4184	0.244751
53700	-4178	0.24353
53800	-4178	0.241943
53900	-4166	0.239868
54000	-4200	0.239746
54100	-4210	0.239136
54200	-4176	0.237305
54300	-4212	0.235107
54400	-4220	0.235352
54500	-4208	0.236816
54600	-4212	0.234863
54700	-4238	0.234253
54800	-4232	0.234253
54900	-4250	0.233398
55000	-4228	0.230713
55100	-4226	0.22937
55200	-4210	0.228394
55300	-4200	0.228638
55400	-4176	0.22522
55500	-4164	0.224243
55600	-4152	0.222534
55700	-4146	0.221436
55800	-4140	0.220337
55900	-4152	0.219727
56000	-4160	0.218506
56100	-4144	0.218018
56200	-4126	0.216309
56300	-4104	0.216309
56400	-4094	0.215576
56500	-4094	0.213135
56600	-4078	0.213989
56700	-4072	0.212769
56800	-4064	0.212158
56900	-4034	0.210938
57000	-4024	0.209717
57100	-4040	0.209351
57200	-4034	0.208374
57300	-4036	0.208252
57400	-4004	0.205444
57500	-4002	0.20459
57600	-4000	0.203979
57700	-4010	0.200928
57800	-4002	0.201416
57900	-4004	0.200928
58000	-3996	0.199341
58100	-4018	0.20105
58200	-4014	0.200195
58300	-4010	0.200562
58400	-3968	0.200562
58500	-3950	0.199707
58600	-3980	0.199829
58700	-4010	0.198608
58800	-4032	0.197144
58900	-4040	0.197144
59000	-4044	0.195679
59100	-4032	0.195557
59200	-4026	0.19397
59300	-4012	0.19165
59400	-4014	0.191772
59500	-4018	0.192261
59600	-4012	0.191162
59700	-4010	0.190918
59800	-4010	0.189453
59900	-4014	0.189819
60000	-4014	0.190063
60100	-4040	0.191162
60200	-4024	0.19043
60300	-4016	0.190918
60400	-4012	0.189819
60500	-4012	0.190063
60600	-3982	0.19043
60700	-3984	0.190308
60800	-3986	0.190063
60900	-3956	0.189087
61000	-3948	0.190308
61100	-3944	0.192017
61200	-3926	0.192383
61300	-3926	0.191406
61400	-3908	0.188232
61500	-3914	0.187134
61600	-3930	0.188965
61700	-3944	0.188965
61800	-3930	0.187378
61900	-3912	0.184937
62000	-3892	0.184448
62100	-3904	0.18457
62200	-3926	0.184326
62300	-3908	0.184082
62400	-3914	0.184937
62500	-3936	0.184692
62600	-3940	0.185181
62700	-3940	0.185059
62800	-3942	0.185425
62900	-3958	0.186401
63000	-3960	0.185669
63100	-3938	0.184326
63200	-3932	0.183716
63300	-3936	0.182739
63400	-3954	0.184448
63500	-3948	0.183228
63600	-3952	0.180908
63700	-3952	0.180054
63800	-3952	0.179688
63900	-3942	0.177612
64000	-3972	0.17688
64100	-3950	0.176147
64200	-3948	0.174805
64300	-3928	0.174316
64400	-3936	0.174927
64500	-3938	0.173096
64600	-3938	0.171997
64700	-3922	0.169434
64800	-3914	0.168579
64900	-3896	0.168579
65000	-3906	0.169067
65100	-3916	0.168701
65200	-3920	0.167969
65300	-3890	0.166016
65400	-3880	0.16394
65500	-3906	0.162964
65600	-3888	0.162476
65700	-3878	0.161011
65800	-3874	0.15979
65900	-3892	0.159668
66000	-3884	0.156982
66100	-3898	0.15686
66200	-3900	0.158813
66300	-3884	0.156738
66400	-3888	0.155884
66500	-3868	0.155151
66600	-3858	0.152832
66700	-3850	0.15271
66800	-3852	0.151611
66900	-3862	0.151611
67000	-3844	0.152832
67100	-3864	0.1521
67200	-3848	0.148193
67300	-3846	0.148438
67400	-3860	0.14917
67500	-3834	0.149048
67600	-3866	0.147461
67700	-3876	0.145752
67800	-3884	0.14502
67900	-3904	0.145142
68000	-3888	0.145142
68100	-3896	0.145874
68200	-3886	0.146118
68300	-3896	0.147217
68400	-3920	0.147095
68500	-3918	0.146484
68600	-3928	0.14502
68700	-3906	0.141724
68800	-3896	0.141235
68900	-3906	0.140503
69000	-3896	0.13916
69100	-3896	0.13916
69200	-3884	0.138428
69300	-3872	0.138306
69400	-3888	0.138062
69500	-3876	0.137207
69600	-3858	0.135986
69700	-3856	0.136841
69800	-3880	0.13623
69900	-3882	0.137695
70000	-3878	0.138916
70100	-3846	0.137451
70200	-3852	0.137085
70300	-3866	0.135254
70400	-3860	0.13623
70500	-3858	0.136475
70600	-3854	0.136108
70700	-3838	0.135376
70800	-3838	0.134766
70900	-3850	0.134277
71000	-3838	0.132568
71100	-3860	0.130737
71200	-3824	0.129517
71300	-3846	0.130737
71400	-3854	0.130493
71500	-3844	0.130859
71600	-3840	0.128296
71700	-3838	0.127197
71800	-3862	0.127319
71900	-3878	0.129028
72000	-3860	0.130249
72100	-3866	0.130371
72200	-3834	0.128418
72300	-3808	0.127563
72400	-3822	0.12793
72500	-3832	0.127319
72600	-3820	0.127441
72700	-3802	0.127075
72800	-3810	0.122803
72900	-3798	0.123413
73000	-3784	0.122314
73100	-3786	0.122681
73200	-3794	0.122314
73300	-3788	0.121216
73400	-3808	0.119507
